AVLTree
====================================================
Input Number 			 Time
1				4847
2				2423
4				3991
8				16393
16				55024
32				51176
64				189878
128				145259
256				109764
512				428793
1024				1009831
2048				1176473
4096				1630640
8192				1934132
16384				4387148
32768				8582708
65536				15526508
131072				51364533
262144				113767785
524288				216267631



BSTTree
====================================================
Input Number 			 Time
1				4989
2				998
4				1853
8				8125
16				20099
32				66428
64				93798
128				255451
256				987593
512				1127720
1024				3629489
2048				12592239
4096				48818573
8192				200395009
16384				905460771
32768				4099942338
65536				19058711182
131072				78610086335
262144				348615793791
